Comment,Designator,Footprint,LCSC
"47n","C1,C8","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"100n","C2","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"4.7u","C3,C9","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"1u","C4","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"220u","C5","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"10u","C6,C7","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"SM4001","D1","Diode_SMD:D_SOD-123",""
"LED","D2","LED_THT:LED_D5.0mm",""
"Hole","H1,H2,H3","MountingHole:MountingHole_3mm_Pad_TopBottom",""
"100k","Intensity1","Connector_Wire:SolderWire-1sqmm_1x03_P7.8mm_D1.4mm_OD3.9mm",""
"CA1","J1","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm",""
"CA2","J2","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm",""
"CB1","J3","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm",""
"CB2","J4","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm",""
"Input","J5","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm",""
"Out","J6","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm",""
"V+","J7","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm",""
"Q_NJFET_DSG","Q1","Package_TO_SOT_THT:TO-92_Inline_Wide",""
"2.2k","R11","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"2.2Meg","R13","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"27k","R16","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"4.7k","R17","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"10k","R18,R29","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"1Meg","R2,R10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"470k","R20","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"47k","R23","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"100k","R19,R21,R22,R24","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"1k","R25,R27,R30","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"22k","R26,R28","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"100k","R4,R5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22k","R1,R3,R6,R7,R8,R12,R14,R15","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"47k","R9","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"1Meg","Rate1","Connector_Wire:SolderWire-1sqmm_1x03_P7.8mm_D1.4mm_OD3.9mm",""
"TL074","U1","Package_DIP:DIP-14_W7.62mm_Socket",""
"LM324","U2","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"LM358","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"VTL5C","U4,U5","Vactrol:Vactrol",""
